Aathupalam
Amman Kovil
Annur
Athipalayam Junction
Athupalam
B.K Pudur
Ganapathy
Gandhipuram
Ganesapuram
Gokulam Colony
Housing Unit
Kalapatti Pirivu
Kariyampalayam Pirivu
Kavundampalayam
Kovaipudur
Kovaipudur Pirivu
Kovilpalayam
Kulathupalayam
Kuniyamuthur
Kunnathur
Kurumbapalayam
Lakshmipuram
Nehru College
Park Gate
Power House
Railway Station - CBE
Ramakrishna Mill
SNS College
Saibaba Kovil
Saravanampatti
Sivananda Colony
Thudiyalur
Town Hall - CBE
Ukkadam
Vadamadurai
Veerapandi
Vellakinar
Vellakinar Pirivu
Viswanathapuram
